FIPS,Geographic Name,Geographic Subtype,Total Vote,Joseph R. Biden Jr.,Donald J. Trump,Brock Pierce,Dr. Jo Jorgensen,Howie Hawkins,Donald L. Blankenship,Rocky de la Fuente,Kanye West,Gloria La Riva,Write-in,Alyson Kennedy,John Richard Myers,Brian Carroll,Phil Collins,Blake Huber,Jerry Segal,James Janos,Kyle Kenley Kopitke,Dario Hunter,Joseph Kishore,Bill Hammons,Eric Boddie,Mark Charles,Richard Duncan,Tom Hoefling,Princess Khadijah Jacob-F,Ricki Sue King,Christopher LaFontaine,Keith McCormic,Joe McHugh,H. Brooke Paige,Zac Scalf,Jordan Scott,Jade Simmons,Gary Swing,Sheila 'Samm' Tittle,None of These Candidates,C. L. Gammon
fips,name,type,totalvote,vote1,vote2,vote3,vote4,vote5,vote6,vote7,vote8,vote9,vote10,vote11,vote12,vote13,vote14,vote15,vote16,vote17,vote18,vote19,vote20,vote21,vote22,vote23,vote24,vote25,vote26,vote27,vote28,vote29,vote30,vote31,vote32,vote33,vote34,vote35,vote36,vote37,vote38
1,Alabama,State,2297295,837376,1427820,0,24886,0,0,0,0,0,7213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Alaska,State,356845,153502,189543,822,8877,0,1120,317,0,0,0,0,0,0,0,0,0,2664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Arizona,State,3395427,1672143,1661686,0,51465,1011,0,0,0,138,8826,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,148,0,0,0,0
5,Arkansas,State,1217667,423518,759749,2138,13127,2956,2078,1320,4096,1334,0,0,1365,1711,2800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1475
6,California,State,17330431,11019726,5934430,35,185470,80014,0,59232,0,50239,459,0,0,571,0,0,0,114,0,0,35,0,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Colorado,State,3256107,1803941,1364226,572,52428,8981,5060,636,8080,1035,0,354,0,2514,568,355,0,0,762,379,196,2729,0,2007,0,0,495,0,0,0,614,0,0,175,0,0,0,0,0
9,Connecticut,State,1824273,1080680,715291,0,20227,7538,0,13,253,0,21,0,0,217,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0
10,Delaware,State,504010,296268,200603,0,5000,2139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,District of Columbia,State,344356,317323,18586,693,2036,1726,0,0,0,855,3137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Florida,State,11091758,5297045,5668731,0,70324,14721,3902,5966,0,5712,24503,0,0,854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Georgia,State,4998482,2474507,2461837,0,62138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Hawaii,State,574469,366130,196864,1183,5539,3822,931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Idaho,State,868336,287021,554118,2808,16404,407,1884,1491,3632,49,331,0,0,163,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,21,0,0,0,0
17,Illinois,State,5952134,3442242,2389089,0,65615,30142,0,0,0,7932,7632,0,0,9482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Indiana,State,3033413,1242419,1729525,0,59233,988,0,0,0,0,355,0,0,893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Iowa,State,1690871,759061,897672,544,19637,3075,1707,1082,3210,0,4337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,546,0,0,0,0,0,0,0,0,0,0,0
20,Kansas,State,1333513,551144,752903,0,29466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Kentucky,State,2134996,772285,1326418,3598,26217,0,0,0,6478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Louisiana,State,2148062,856034,1255776,749,21645,0,860,0,4897,987,0,536,0,2497,0,0,0,0,0,0,0,662,1125,0,0,668,0,0,0,0,0,0,0,0,1626,0,0,0,0
23,Maine,State,812765,429860,359118,611,14171,8234,1184,1382,3343,0,1614,0,0,1061,1181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Maryland,State,2999381,1970394,973012,1,33306,15613,0,8,2,545,246,0,0,418,30,0,5789,0,0,0,0,0,2,10,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
25,Massachusetts,State,3529032,2316338,1148777,0,45782,18135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Michigan,State,5544250,2804040,2649852,0,60381,13718,7235,2986,0,0,6009,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
